집회 일시,집회 장소(행진로),신고 인원,관할서,비고,행정구역(동)
12:00~14:00,의사당역 2번 출구 앞 편도 全 차로,"20,000",영등포,,여의도
12:00~17:00,서울역 4번 출구 앞 3개 차로→안국역 4번 출구,"5,000","남대문
종 로",,한강대로 등
13:00~16:00,중앙우체국 앞 인도 및 1개 차로⇄명동역 6번 출구,500,남대문,,명동 등
13:00~19:00,"동화면세점~대한문 편도 全 차로/
교보딜딩~광화문역 2번 출구 편도 全 차로","20,000","종 로
남대문",,세종대로
13:30~15:30,안국역 5번 출구 앞 2개 차로→대한문,"5,000","종 로
중 부
남대문",,중학동
14:00~16:00,시청 동편⇄을1R,"1,200","종 로
남대문",,태평로1가 등
14:00~16:30,파고다타워 앞 인도 및 2개 차로→강남역 9번 출구,500,"서 초
강 남",,서초동
15:00~16:00,종로타워→동십자R,"5,000",종 로,,관철동
15:00~16:30,SK서린빌딩 남측→동십자R,500,종 로,,서린동
15:00~17:00,안국역 1번 출구 편도 全 차로→동십자R,"10,000",종 로,,재동 등
17:00~20:30,적선R~광화문R 편도 全차로 및 역방 3개 차로,"500,000","종 로
중 부
남대문",,적선동 등
